Time,Class,Score,Distance (m),Speed (m/s),Latitude,Longitude
2024-09-29 14:46:55,Human face,0.78836316,,,19.376541666666668,72.8227265625
2024-09-29 14:46:55,Man,0.35978442,,,19.376385416666665,72.8227109375
2024-09-29 14:46:55,Human face,0.6792386,,,19.376447916666667,72.8232109375
2024-09-29 14:46:55,Man,0.38085866,,,19.376364583333334,72.8227421875
2024-09-29 14:46:55,Human face,0.6997845,,,19.376437499999998,72.8232109375
2024-09-29 14:46:55,Man,0.36677617,,,19.376364583333334,72.822734375
2024-09-29 14:46:55,Human face,0.7132618,,,19.376447916666667,72.8231953125
2024-09-29 14:46:55,Man,0.3370827,,,19.376375,72.822765625
2024-09-29 14:46:55,Human face,0.73059803,,,19.376458333333332,72.8231875
2024-09-29 14:46:55,Man,0.3380277,,,19.376375,72.8227421875
2024-09-29 14:46:55,Human face,0.74126214,,,19.376447916666667,72.823140625
2024-09-29 14:46:55,Man,0.3016526,,,19.376385416666665,72.82275
2024-09-29 14:46:56,Human face,0.7559426,,,19.376479166666666,72.823125
2024-09-29 14:46:56,Man,0.3364273,,,19.376385416666665,72.8227421875
2024-09-29 14:46:56,Human face,0.74417895,,,19.376479166666666,72.8230625
2024-09-29 14:46:56,Man,0.31614473,,,19.376375,72.8227265625
2024-09-29 14:46:56,Human face,0.7757587,,,19.376510416666665,72.8230234375
2024-09-29 14:46:56,Man,0.32491884,,,19.376375,72.82275
2024-09-29 14:46:56,Human face,0.7864878,,,19.37653125,72.8229609375
2024-09-29 14:46:56,Human face,0.79157084,,,19.37653125,72.82290625
2024-09-29 14:46:56,Human face,0.82672817,,,19.376572916666667,72.8228046875
2024-09-29 14:46:56,Human face,0.78499216,,,19.376552083333333,72.822734375
2024-09-29 14:46:56,Human face,0.7876888,,,19.376541666666668,72.8226953125
2024-09-29 14:46:56,Man,0.3626985,,,19.37640625,72.822734375
2024-09-29 14:46:56,Human face,0.814215,,,19.376552083333333,72.822671875
2024-09-29 14:46:56,Man,0.35900798,,,19.37640625,72.8227109375
